Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold6586.1,-0.315520365,17.0090099,0.12421943,0.905315585,0.977247155,-4.936595681,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold6586.1
SymbC1.scaffold19278.3,-0.333672539,15.52070482,0.121700313,0.908039836,0.978321768,-4.936646724,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold19278.3
SymbC1.scaffold7270.1,0.457611685,18.29316671,-0.115974037,0.911566448,0.979222257,-4.937172941,no difference,,27923.ML13539a-PA,4.73E-18,100,"COG2801@1|root,KOG0017@2759|Eukaryota,38DPC@33154|Opisthokonta,3BS5J@33208|Metazoa",33208|Metazoa,L,Reverse transcriptase (RNA-dependent DNA polymerase),-,-,-,-,-,-,-,-,-,-,-,-,"RVT_2,rve",NA,NA,SymbC1.scaffold7270.1
SymbC1.scaffold5535.4,-0.283009103,17.17258757,0.113411319,0.913510701,0.979222257,-4.93734434,no difference,,5811.TGME49_065420,2.04E-22,102,"2CN7B@1|root,2QUBG@2759|Eukaryota,3YBBD@5794|Apicomplexa,3YKYA@5796|Coccidia,3YUH2@5809|Sarcocystidae",5794|Apicomplexa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold5535.4
SymbC1.scaffold1928.3,-0.270462737,17.92543217,0.1075168,0.917985169,0.979748215,-4.937724134,no difference,,3218.PP1S165_126V6.1,4.78E-11,71.2,"COG0101@1|root,KOG2553@2759|Eukaryota,37QHX@33090|Viridiplantae,3GEFR@35493|Streptophyta",35493|Streptophyta,J,tRNA pseudouridine synthase,-,"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360",5.4.99.12,ko:K06173,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,PseudoU_synth_1,NA,NA,SymbC1.scaffold1928.3
SymbC1.scaffold1242.6,0.351217625,18.40049552,-0.100482911,0.922848074,0.980057343,-4.93821372,no difference,K00139,518766.Rmar_2008,5.04E-156,458,"COG1012@1|root,COG1012@2|Bacteria,4NEB7@976|Bacteroidetes,1FJ1P@1100069|Bacteroidetes Order II. Incertae sedis",976|Bacteroidetes,C,Aldehyde dehydrogenase family,-,-,"1.2.1.16,1.2.1.20,1.2.1.3,1.2.1.79","ko:K00128,ko:K00135","ko00010,ko00053,ko00071,ko00250,ko00280,ko00310,ko00330,ko00340,ko00350,ko00380,ko00410,ko00561,ko00620,ko00625,ko00650,ko00760,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00250,map00280,map00310,map00330,map00340,map00350,map00380,map00410,map00561,map00620,map00625,map00650,map00760,map00903,map00981,map01100,map01110,map01120,map01130","M00027,M00135","R00264,R00631,R00710,R00713,R00714,R00904,R01752,R01986,R02401,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh,NA,NA,SymbC1.scaffold1242.6
SymbC1.scaffold3298.2,-0.250436153,18.16170494,0.091341524,0.93089021,0.980929134,-4.938589328,no difference,K13886,6412.HelroP115173,3.54E-91,291,"COG1985@1|root,KOG0303@2759|Eukaryota,38DGC@33154|Opisthokonta,3BCGZ@33208|Metazoa,3CSIZ@33213|Bilateria",33208|Metazoa,Z,Belongs to the WD repeat coronin family,CORO1C,"GO:0000147,GO:0001667,GO:0001725,GO:0001755,GO:0001772,GO:0001775,GO:0001776,GO:0001845,GO:0001891,GO:0001894,GO:0001906,GO:0001909,GO:0001932,GO:0001933,GO:0001952,GO:0001953,GO:0002228,GO:0002252,GO:0002260,GO:0002263,GO:0002285,GO:0002323,GO:0002366,GO:0002376,GO:0002443,GO:0002449,GO:0002520,GO:0002521,GO:0002682,GO:0002684,GO:0002694,GO:0002696,GO:0003674,GO:0003779,GO:0003785,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005829,GO:0005856,GO:0005884,GO:0005886,GO:0005901,GO:0005911,GO:0005938,GO:0006469,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006887,GO:0006897,GO:0006909,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007033,GO:0007040,GO:0007154,GO:0007155,GO:0007162,GO:0007165,GO:0007166,GO:0007275,GO:0007525,GO:0007527,GO:0008022,GO:0008064,GO:0008092,GO:0008104,GO:0008150,GO:0008284,GO:0008360,GO:0009605,GO:0009607,GO:0009611,GO:0009620,GO:0009719,GO:0009888,GO:0009892,GO:0009987,GO:0010033,GO:0010522,GO:0010563,GO:0010605,GO:0010631,GO:0010632,GO:0010633,GO:0010639,GO:0010721,GO:0010762,GO:0010769,GO:0010771,GO:0010810,GO:0010812,GO:0010941,GO:0010959,GO:0012505,GO:0014031,GO:0014032,GO:0014033,GO:0014910,GO:0014912,GO:0015629,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016328,GO:0016477,GO:0016482,GO:0016600,GO:0017016,GO:0017022,GO:0017048,GO:0019220,GO:0019222,GO:0019899,GO:0022407,GO:0022409,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0023052,GO:0030001,GO:0030027,GO:0030029,GO:0030030,GO:0030036,GO:0030054,GO:0030097,GO:0030098,GO:0030101,GO:0030139,GO:0030154,GO:0030155,GO:0030217,GO:0030334,GO:0030335,GO:0030336,GO:0030424,GO:0030595,GO:0030832,GO:0030833,GO:0030863,GO:0030864,GO:0030865,GO:0030866,GO:0031252,GO:0031267,GO:0031323,GO:0031324,GO:0031338,GO:0031339,GO:0031344,GO:0031345,GO:0031346,GO:0031399,GO:0031400,GO:0031410,GO:0031529,GO:0031589,GO:0031982,GO:0032036,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032271,GO:0032420,GO:0032421,GO:0032426,GO:0032432,GO:0032501,GO:0032502,GO:0032535,GO:0032796,GO:0032879,GO:0032940,GO:0032944,GO:0032946,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033673,GO:0034097,GO:0034315,GO:0034316,GO:0034613,GO:0034762,GO:0034765,GO:0035556,GO:0035767,GO:0036119,GO:0036120,GO:0038179,GO:0038180,GO:0040011,GO:0040012,GO:0040013,GO:0040017,GO:0042060,GO:0042102,GO:0042110,GO:0042127,GO:0042129,GO:0042221,GO:0042267,GO:0042325,GO:0042326,GO:0042330,GO:0042592,GO:0042641,GO:0042802,GO:0042803,GO:0042981,GO:0042995,GO:0043005,GO:0043029,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043086,GO:0043087,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043232,GO:0043254,GO:0043269,GO:0043299,GO:0043320,GO:0043523,GO:0043524,GO:0043542,GO:0043547,GO:0043548,GO:0043549,GO:0044085,GO:0044087,GO:0044092,GO:0044093,GO:0044387,GO:0044396,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044463,GO:0044464,GO:0044853,GO:0044877,GO:0045055,GO:0045087,GO:0045121,GO:0045184,GO:0045321,GO:0045335,GO:0045595,GO:0045596,GO:0045785,GO:0045859,GO:0045936,GO:0046649,GO:0046903,GO:0046907,GO:0046983,GO:0048365,GO:0048468,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048583,GO:0048585,GO:0048731,GO:0048762,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0048870,GO:0048871,GO:0048872,GO:0048873,GO:0050670,GO:0050671,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050832,GO:0050863,GO:0050865,GO:0050867,GO:0050870,GO:0050896,GO:0050900,GO:0050918,GO:0050920,GO:0050922,GO:0051015,GO:0051017,GO:0051020,GO:0051049,GO:0051051,GO:0051093,GO:0051094,GO:0051125,GO:0051126,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051246,GO:0051248,GO:0051249,GO:0051251,GO:0051270,GO:0051271,GO:0051272,GO:0051279,GO:0051282,GO:0051336,GO:0051338,GO:0051345,GO:0051348,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0051893,GO:0051895,GO:0051924,GO:0060249,GO:0060255,GO:0060284,GO:0060326,GO:0060341,GO:0060485,GO:0060491,GO:0060548,GO:0060627,GO:0061061,GO:0061502,GO:0061572,GO:0065007,GO:0065008,GO:0065009,GO:0070528,GO:0070663,GO:0070665,GO:0070670,GO:0070727,GO:0070838,GO:0070848,GO:0070887,GO:0070925,GO:0071310,GO:0071345,GO:0071353,GO:0071363,GO:0071495,GO:0071671,GO:0071672,GO:0071840,GO:0071933,GO:0071944,GO:0072511,GO:0080090,GO:0080171,GO:0090066,GO:0090109,GO:0090130,GO:0090132,GO:0090135,GO:0090382,GO:0090630,GO:0097435,GO:0097458,GO:0097517,GO:0097708,GO:0098542,GO:0098589,GO:0098590,GO:0098657,GO:0098796,GO:0098797,GO:0098805,GO:0098857,GO:0098858,GO:0098862,GO:0098927,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0110053,GO:0120025,GO:0120032,GO:0120035,GO:0120036,GO:0120038,GO:1900024,GO:1900025,GO:1900027,GO:1901214,GO:1901215,GO:1901888,GO:1901889,GO:1902463,GO:1902743,GO:1902744,GO:1902745,GO:1902903,GO:1902904,GO:1903037,GO:1903039,GO:1903169,GO:1903391,GO:1903392,GO:1904062,GO:1990089,GO:1990090,GO:2000145,GO:2000146,GO:2000147,GO:2000392,GO:2000393,GO:2000394",-,"ko:K13882,ko:K13886","ko04145,ko05152,map04145,map05152",-,-,-,"ko00000,ko00001,ko04131,ko04147,ko04812",-,-,-,"DUF1899,Trimer_CC,WD40,WD40_4",NA,NA,CORO1C
SymbC1.scaffold2509.1,0.242527428,18.14802176,-0.092238667,0.929597638,0.980659145,-4.938614687,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2509.1
SymbC1.scaffold3084.4,1.109799318,21.27959002,-1.494781931,0.145838832,0.530441017,-4.939203652,no difference,,179408.Osc7112_5243,2.15E-26,104,"COG0198@1|root,COG0198@2|Bacteria,1G6PM@1117|Cyanobacteria,1HBG4@1150|Oscillatoriales",1117|Cyanobacteria,J,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,rplX,"GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0071704,GO:1901564,GO:1901566,GO:1901576",-,ko:K02895,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"KOW,ribosomal_L24",NA,NA,rplX
SymbC1.scaffold245.22,0.190729581,20.67895269,-0.080226864,0.938357883,0.982948771,-4.939259739,no difference,,44056.XP_009035859.1,1.96E-21,94.7,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold245.22
SymbC1.scaffold5556.1,0.173687693,17.39131892,-0.063349075,0.952027838,0.986797158,-4.939892097,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5556.1
SymbC1.scaffold526.10,-0.056842962,19.3535839,0.020732321,0.984288782,0.995115694,-4.940971483,no difference,,5875.XP_766722.1,1.75E-57,193,"KOG0144@1|root,KOG0144@2759|Eukaryota,3YBFW@5794|Apicomplexa,3KAIN@422676|Aconoidasida,3Z4QF@5863|Piroplasmida",422676|Aconoidasida,A,Domain with 2 conserved Trp (W) residues,-,"GO:0000122,GO:0001085,GO:0001103,GO:0003674,GO:0003700,GO:0003712,GO:0003714,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0070013,GO:0070064,GO:0070491,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,"RRM_1,WW",NA,NA,SymbC1.scaffold526.10
SymbC1.scaffold11142.1,-0.049343582,19.20682872,0.017997074,0.986361297,0.995619848,-4.941003412,no difference,K02995,5808.XP_002142692.1,4.51E-71,226,"COG2007@1|root,KOG3283@2759|Eukaryota,3Y9Z0@5794|Apicomplexa,3YIPC@5796|Coccidia",5794|Apicomplexa,J,Belongs to the eukaryotic ribosomal protein eS8 family,RPS8,-,-,ko:K02995,"ko03010,map03010","M00177,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S8e,NA,NA,RPS8
SymbC1.scaffold1364.11;SymbC1.scaffold179.6,-1.109605221,19.55996853,1.429509513,0.165321653,0.554871841,-4.941035795,no difference,,65071.PYU1_T000241,7.37E-10,67,"COG2223@1|root,2QPIC@2759|Eukaryota,1MDE3@121069|Pythiales",121069|Pythiales,P,Major Facilitator Superfamily (MFS). Source PGD,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1,NA,NA,SymbC1.scaffold1364.11
SymbC1.scaffold2593.6;SymbC1.scaffold8213.1,1.173235724,20.64757819,-1.123918496,0.28164236,0.66278387,-4.942535906,no difference,,1499968.TCA2_5297,1.53E-14,76.3,"COG2130@1|root,COG2130@2|Bacteria,1TQUE@1239|Firmicutes,4HCHY@91061|Bacilli,26QH0@186822|Paenibacillaceae",91061|Bacilli,S,N-terminal domain of oxidoreductase,-,-,1.6.5.5,"ko:K00344,ko:K07119",-,-,-,-,"ko00000,ko01000",-,-,-,"ADH_N_2,ADH_zinc_N",NA,NA,SymbC1.scaffold2593.6
SymbC1.scaffold450.13,-1.807310461,18.73470118,0.735038625,0.490828595,0.807824124,-4.945023621,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold450.13
SymbC1.scaffold344.6,0.74946588,20.28300318,-1.353265869,0.189821416,0.582451637,-4.950227555,no difference,,5811.TGME49_049690,1.24E-42,165,"2CCUC@1|root,2SUGX@2759|Eukaryota,3YC35@5794|Apicomplexa,3YJ5S@5796|Coccidia,3YUP2@5809|Sarcocystidae",5794|Apicomplexa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold344.6
SymbC1.scaffold1203.10,1.246146443,17.78151411,-0.845795358,0.420003477,0.766800959,-4.950426317,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold1203.10
SymbC1.scaffold100.12,-1.125747144,19.12663708,1.148075899,0.275671927,0.659102466,-4.950500087,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold100.12
SymbC1.scaffold3462.3,1.524862889,19.91215806,-1.149937185,0.271159029,0.656804932,-4.950555193,no difference,,2850.Phatr44174,2.32E-111,369,"COG0737@1|root,KOG4419@2759|Eukaryota",2759|Eukaryota,F,nucleotide catabolic process,NTD5,-,-,-,-,-,-,-,-,-,-,-,"5_nucleotid_C,EF-hand_5,Metallophos",NA,NA,NTD5
SymbC1.scaffold3567.1,-3.260138786,19.42780782,0.837714128,0.427029967,0.771003054,-4.953511536,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold3567.1
SymbC1.scaffold513.1,1.421424102,18.87939717,-1.127038075,0.282074137,0.66278387,-4.954031533,no difference,,28583.AMAG_09110T0,9.69E-25,100,"COG1761@1|root,KOG4392@2759|Eukaryota,3A60P@33154|Opisthokonta,3P5DE@4751|Fungi",4751|Fungi,K,dna-directed rna polymerase ii,RPB11,"GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005665,GO:0006139,GO:0006351,GO:0006353,GO:0006366,GO:0006369,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016591,GO:0018130,GO:0019438,GO:0030880,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0046483,GO:0055029,GO:0061695,GO:0070013,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234",-,ko:K03008,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05169,map00230,map00240,map01100,map03020,map05016,map05169",M00180,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko03021,ko03400",-,-,-,RNA_pol_L_2,NA,NA,RPB11
SymbC1.scaffold11044.1,-1.621149028,19.39635089,0.965703746,0.357356603,0.72791619,-4.954059322,no difference,,29760.VIT_16s0098g00290.t01,5.88000000000007e-312,937,"COG0069@1|root,KOG0399@2759|Eukaryota,37RTT@33090|Viridiplantae,3G7BE@35493|Streptophyta",35493|Streptophyta,E,glutamate synthase,GLT1,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009719,GO:0009725,GO:0009735,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0015930,GO:0016040,GO:0016053,GO:0016491,GO:0016638,GO:0016639,GO:0019676,GO:0019740,GO:0019752,GO:0032502,GO:0040007,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045181,GO:0046394,GO:0046686,GO:0048589,GO:0050896,GO:0055114,GO:0060359,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901698","1.4.1.13,1.4.1.14",ko:K00264,"ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230",-,"R00093,R00114,R00248","RC00006,RC00010,RC02799","ko00000,ko00001,ko01000",-,-,-,"Fer4_20,GATase_2,GXGXG,Glu_syn_central,Glu_synthase,Pyr_redox_2",NA,NA,GLT1
SymbC1.scaffold2519.3,0.979659058,19.40645392,-1.394504052,0.17659025,0.567734117,-4.954975025,no difference,,99158.XP_008882919.1,1.34E-13,75.1,"2C67T@1|root,2QYRV@2759|Eukaryota,3YFUW@5794|Apicomplexa,3YJI0@5796|Coccidia,3YRXK@5809|Sarcocystidae",5794|Apicomplexa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold2519.3
SymbC1.scaffold5151.3,1.19453149,18.56804206,-0.435062277,0.676938725,0.897833161,-4.957355297,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5151.3
SymbC1.scaffold4211.1,-1.315347345,20.07725059,1.255770753,0.22540935,0.616346355,-4.959093609,no difference,K12447,55529.EKX49556,1.39E-91,296,"COG4284@1|root,KOG2388@2759|Eukaryota",2759|Eukaryota,G,UDP-N-acetylglucosamine diphosphorylase activity,-,-,"2.7.7.23,2.7.7.64,2.7.7.83","ko:K00972,ko:K12447","ko00040,ko00052,ko00053,ko00520,ko01100,ko01130,map00040,map00052,map00053,map00520,map01100,map01130","M00014,M00361,M00362","R00289,R00416,R00502,R01381,R03077,R08845",RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,UDPGP,NA,NA,SymbC1.scaffold4211.1
SymbC1.scaffold44.13,1.647455171,18.97399419,-0.800573179,0.439165367,0.776885689,-4.961410617,no difference,,67593.Physo142260,1.59E-10,69.7,"COG0625@1|root,KOG1627@1|root,KOG0867@2759|Eukaryota,KOG1627@2759|Eukaryota,3Q7QN@4776|Peronosporales",4776|Peronosporales,JO,"Elongation factor 1 gamma, conserved domain",-,-,-,ko:K03233,"ko05134,map05134",-,-,-,"ko00000,ko00001,ko03012,ko03019",-,-,-,"EF1G,GST_C,GST_N",NA,NA,SymbC1.scaffold44.13
SymbC1.scaffold1297.5,-0.91585515,18.50973342,0.415446924,0.692678479,0.901647897,-4.961569079,no difference,K19882,400682.PAC_15715259,3.56E-82,263,"KOG4287@1|root,KOG4287@2759|Eukaryota,38W7Q@33154|Opisthokonta,3B9FY@33208|Metazoa",33208|Metazoa,M,protein depalmitoleylation,-,-,3.1.1.98,ko:K19882,"ko04310,map04310",-,R11202,"RC00020,RC00041","ko00000,ko00001,ko01000",-,-,-,PAE,NA,NA,SymbC1.scaffold1297.5
SymbC1.scaffold1543.5,1.62664921,20.33865856,-1.177629415,0.262099084,0.647515589,-4.962704303,no difference,K09498,36331.EPrPI00000014367,1.92E-241,680,"COG0459@1|root,KOG0359@2759|Eukaryota,1ME5J@121069|Pythiales",121069|Pythiales,O,T-complex protein 1 subunit zeta. Source PGD,-,-,-,-,-,-,-,-,-,-,-,-,Cpn60_TCP1,NA,NA,SymbC1.scaffold1543.5
SymbC1.scaffold7526.6,-0.863753532,20.68470755,0.41502404,0.690855962,0.901647897,-4.96272467,no difference,,118168.MC7420_2493,4.00E-53,215,"COG1404@1|root,COG2931@1|root,COG4932@1|root,COG1404@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,1G04D@1117|Cyanobacteria,1H779@1150|Oscillatoriales",1117|Cyanobacteria,O,Belongs to the peptidase S8 family,-,-,-,-,-,-,-,-,-,-,-,-,"Calx-beta,HemolysinCabind,Peptidase_S8,SdrD_B",NA,NA,SymbC1.scaffold7526.6
SymbC1.scaffold1758.3;SymbC1.scaffold220.21;SymbC1.scaffold220.22;SymbC1.scaffold2671.4,-2.191798124,22.40390362,1.268801411,0.220829669,0.611861448,-4.963891456,no difference,,5207.AAW45754,2.51E-25,105,"COG1053@1|root,COG5274@1|root,KOG0537@2759|Eukaryota,KOG2404@2759|Eukaryota,38FMG@33154|Opisthokonta,3NU5S@4751|Fungi,3UY73@5204|Basidiomycota,3VE5Z@5234|Tremellales",4751|Fungi,C,FAD dependent oxidoreductase,OSM2,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005829,GO:0005886,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006139,GO:0006457,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009628,GO:0009987,GO:0012505,GO:0015980,GO:0016020,GO:0016156,GO:0016491,GO:0016627,GO:0016628,GO:0016999,GO:0017144,GO:0019637,GO:0019752,GO:0033554,GO:0034059,GO:0034641,GO:0034975,GO:0036293,GO:0036294,GO:0042221,GO:0042726,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046443,GO:0046483,GO:0050896,GO:0051186,GO:0051716,GO:0055086,GO:0055114,GO:0070482,GO:0070887,GO:0071453,GO:0071454,GO:0071704,GO:0071944,GO:0072350,GO:0072387,GO:1901360,GO:1901564",-,ko:K18561,-,-,-,-,"ko00000,ko01000",-,-,"iMM904.YEL047C,iND750.YEL047C","Cyt-b5,FAD_binding_2",NA,NA,OSM2 (2)
SymbC1.scaffold499.6,1.168736487,21.33921284,-1.520103479,0.138059379,0.520431594,-4.964380619,no difference,,554065.XP_005849250.1,9.55E-28,107,"28MPG@1|root,2QU7F@2759|Eukaryota,37YV5@33090|Viridiplantae,34IZ6@3041|Chlorophyta",3041|Chlorophyta,C,Belongs to the mitochondrial carrier (TC 2.A.29) family,-,-,-,-,-,-,-,-,-,-,-,-,Mito_carr,NA,NA,SymbC1.scaffold499.6
SymbC1.scaffold1602.13,-0.862066333,21.02131927,0.39510411,0.706823072,0.906809414,-4.966867713,no difference,,110365.A0A023B497,5.14E-29,118,"KOG1960@1|root,KOG1960@2759|Eukaryota,3YAS6@5794|Apicomplexa",5794|Apicomplexa,A,K homology RNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold1602.13
SymbC1.scaffold1335.1,1.241773805,21.0327431,-1.526816225,0.136103934,0.515754316,-4.968905936,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold1335.1
